No,label,large classification,small classification,//purl.obolibrary.org/obo/results_in_division_of,住所,電話,Fax,lat,long,休日,available time,the closure,the nursing,diaper substitute,attention,駐車場,URL
13,ハイネ,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市大塚町五丁目１２－５,072-661-5234,,34.822332,135.630786,月～金、土（月に１回、不定期）,10:00～15:00,土（月に１回不定期に開館）・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/25/
14,ファミリーポートはるか,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市上牧南駅前町５－１－１０８,072-660-6556,,34.870086,135.661089,月～金,10:00～15:00,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/10/
15,平安女学院大学どんぐりの森,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市南平台五丁目８１－１,072-696-4939,,34.867705,135.585907,月～金,10:00～15:00,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/9/index.html
16,子育て広場りんごっこ,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市東和町５７－１,072-674-7071,,34.83021,135.636966,月～金,10:00～15:00,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/26/
17,ひろばひだまり,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市寿町一丁目１９－２,072-693-4682,,34.828739,135.600262,月～金,10:00～15:00,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/8/
18,キッズスポットかるがも,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市津之江町二丁目２４－１２－１０４,072-661-2326,,34.838457,135.607912,月～金,10:00～15:00 (火は16:00まで),土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/6/
19,ぴーかぶー,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市郡家新町６－１６,072-682-0677,,34.849811,135.59994,月～金,10:30～15:30,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/29/
20,市役所（本館１階・総合センター７階）,子育て支援施設,赤ちゃんの駅,市役所・支所,高槻市桃園町２－１,072-674-7000,,34.846019,135.617332,月～金　（一部業務を除く）,8:45～17:15,土・日・祝、休日・年末年始（12/29～1/3）,あり,あり,授乳・おむつ替え設備は本館東玄関１Ｆと総合センター7Ｆにあり,あり,http://www.city.takatsuki.osaka.jp/shisei/profilekeikaku/shiyakusho_annai/1326949112262.html
21,クロスパル高槻（総合市民交流センター）,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市紺屋町１－２,072-685-3721,072-685-3614,34.851940,135.618922,休館日を除く日,9:00～21:00,12/29～1/3。　3月及び9月の第1日曜日（その他臨時休館日あり）。,なし,あり,駐車場は市営高槻駅南立体駐車場。,あり（190台）,http://www.city.takatsuki.osaka.jp/kurashi/bunka_sports/bunka_koryushisetsu/1327994114940.html
22,樫田支所,子育て支援施設,赤ちゃんの駅,市役所・支所,高槻市大字田能小字スハノ下１１,072-688-9124,072-688-9125,34.955544,135.589362,月～金,8:45～17:15,土・日・祝、休日・年末年始（12/29～1/3）,あり,あり,授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/shimin/kasida/index.html
23,富田青少年交流センター,子育て支援施設,赤ちゃんの駅,青少年施設,高槻市富田町四丁目１５－２４,072-694-5454,072-694-4658,34.830571,135.592049,休館日を除く日,9:00～21:00　（おむつ替え・授乳は17:00まで、土は12:00まで）,12/29～1/3,あり,あり,授乳は職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/tiikikyo/gyomuannai/tondasei/sisetsunoshoukai/1347244246881.html
24,富田ふれあい文化センター,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市富田町四丁目１５－２８,072-694-5451,072-694-5453,34.830892,135.591982,休館日を除く日,9:00～21:00（授乳は、17:00まで、土は、12:00まで),日、祝日、年末年始（12/29～1/3）,あり,あり,授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/shimin/tondac/gyomuannai/shisetsushoukai/shoukai.html
25,春日ふれあい文化センター・青少年交流センター,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市春日町２２－１,072-676-7123,072-671-9605,34.836810,135.627699,休館日を除く日,9:00～17:00（土は12:00まで）,日・祝日、年末年始（12/29～1/3）,あり,あり,授乳は職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kurashi/bunka_sports/bunka_koryushisetsu/1327892459993.html
26,障がい者福祉センター,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市城内町１－１１,072-672-0267,072-661-3508,34.844656,135.623455,月～土・第1・３日曜日,9:00～21:30（第1・3日曜日は9：00～17：00）,第1･3以外の日曜日　祝日　12/29～1/3,あり,あり,授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kenkouf/hukusi/gyomuannai/shogaishafukushi/gyomuannai/fukushicenter.html
27,保健所,子育て支援施設,赤ちゃんの駅,保健所・保健センター,高槻市城東町５－７,072-661-9333,,34.843207,135.628576,月～金,8:45～17:15,土・日・祝、休日・年末年始（12/29～1/3）,あり,あり,,,http://www.city.takatsuki.osaka.jp/kurashi/hoken_iryo/hokenjo/
28,保健センター,子育て支援施設,赤ちゃんの駅,保健所・保健センター,高槻市城東町５－１,072-661-1108,072-661-2021,34.843207,135.628975,月～金,8:45～17:15,土・日・祝、休日・年末年始（12/29～1/3）,あり,あり,おむつ替え・授乳は職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kodomo/khoken/hoken_center.html
29,西部地域保健センター,子育て支援施設,赤ちゃんの駅,保健所・保健センター,高槻市富田町二丁目４－１,072-696-9460,072-696-9463,34.832988,135.591255,月～金,8:45～17:15,土・日・祝、休日・年末年始（12/29～1/3）,あり,あり,授乳は職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kodomo/khoken/hoken_center.html
30,あくあぴあ芥川（自然博物館）,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市南平台五丁目５９－１,072-692-5041,072-692-7864,34.864016,135.592108,火～日,10:00～17:00,月曜日　月曜日が祝日の場合は翌平日　12/28～1/4,あり,あり,,,http://www.city.takatsuki.osaka.jp/kurashi/bunka_sports/bunka_koryushisetsu/aquapia.html
31,総合スポーツセンター体育館,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市芝生町四丁目１－１,072-677-8200,,34.824983,135.610058,休館日を除く日,9:00～21:00,火曜日　12/28～1/4,あり,あり,,,http://www.city.takatsuki.osaka.jp/kurashi/bunka_sports/sport_page/shisetu/taiikukan/sibo_gym.html
32,古曽部防災公園体育館,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市古曽部町三丁目１５－１,072-681-0031,,34.862727,135.621701,休館日を除く日,9：00～21：00,木曜日　12/28～1/4,あり,あり,,,http://www.city.takatsuki.osaka.jp/kurashi/bunka_sports/sport_page/shisetu/taiikukan/1327796846594.html
33,今城塚古代歴史館,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市郡家新町４８－８,072-682-0820,072-682-0930,34.852435,135.596014,火～日,10:00～17:00（入館は16:30まで）,月曜日、祝日の翌日、１２／２８～１／３,あり,あり,調乳用のお湯は、職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/rekishi_kanko/rekishi/rekishikan/shisetsu/1331883966934.html
34,高槻現代劇場,子育て支援施設,赤ちゃんの駅,その他の公共施設,高槻市野見町２－３３,072-671-1061,,34.845571,135.620685,,9:00～22:00　(受付時間は8:45～17:15),7月の第1日曜日、年末年始および年5回の点検休館日あり,なし,なし,,,http://www.city.takatsuki.osaka.jp/bunka/theater/index.html
35,女瀬川南コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市芝生町三丁目１６－１,072-678-6748,072-678-6751,34.827891,135.610009,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第3水曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（5台程度）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327457755278.html
36,寿栄コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市栄町三丁目１１－３,072-696-6025,072-696-6137,34.826520,135.600431,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第3金曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（5台程度）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327455298503.html
37,竹の内コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市竹の内町６０－６,072-661-1263,072-661-1265,34.825119,135.62776,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第5週目・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（5台程度）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327456384228.html
38,奥坂コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市別所本町３５－３,072-684-1375,072-684-1384,34.863233,135.625078,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,29日・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（5台程度）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327452703726.html
39,堤コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市堤町３－２,072-674-8210,072-674-8210,34.827255,135.618421,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第4月曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（16台）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327454400750.html
40,大冠北第１コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市永楽町１－１５,072-673-2046,072-673-2051,34.845638,135.632596,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第4月曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（10台程度）,http://www.city.takatsuki.osaka.jp/kakuka/shimin/cominiti/shisetsuannnai/communitycenter/okammurikita1.html
41,大冠北第２コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市宮野町１０－１６,072-674-4955,072-674-4955,34.850599,135.637255,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第4月曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（5台程度）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327450473146.html
42,川西コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市清福寺町６－５,072-683-9048,072-683-9048,34.851739,135.604334,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第2日曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（8台）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327392444450.html
43,赤大路コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市赤大路町１５－６,072-695-5563,072-695-5613,34.835599,135.586122,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第3月曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（5台程度）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327393466296.html
44,柳川コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市西町２－５,072-695-5793,072-695-5793,34.824637,135.595858,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第3日曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（4台）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327390602715.html
45,冠コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市大冠町二丁目４０－１０,072-674-8221,072-674-8221,34.833831,135.636714,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第5日曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（但緊急等用）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327391558878.html
46,西大冠コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市城南町三丁目１－３,072-672-4130,072-672-4131,34.837017,135.62386,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第3水曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（2台）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327387883089.html
47,清水コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市宮之川原五丁目４－３,072-687-4660,072-687-4670,34.86575,135.598363,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第3水曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（3台）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327389360687.html
48,阿武野コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市南平台五丁目２１－２,072-696-0921,072-696-0922,34.862088,135.588536,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第4月曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳・おむつ替えは事務所に声をおかけください。,あり（22台）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327385477029.html
49,玉川牧田コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市牧田町２６－３,072-696-8877,072-696-8877,34.820095,135.599302,休館日を除く日,9:00～22:00　（おむつ替え・授乳は17:00まで）,第1水曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳は事務所に声をおかけください。,あり（10台）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327386359426.html
50,清水池コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市川西町三丁目７－７,072-661-4111,072-661-4111,34.845479,135.609258,休館日を除く日（授乳は日曜除く）,9:00～22:00　（授乳は9:30～16:30）,第3水曜・8/13～16・年末年始(12/27～1/6),あり,あり,授乳は事務所に声をおかけください。,あり（5台）,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1327381301398.html
51,桃園コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市城西町１０－１２,072-672-5477,072-672-5477,34.841486,135.614365,,,,,,,,http://www.city.takatsuki.osaka.jp/kurashi/shiminkatsudo/koekikatsudo/komyunithisennta/1395102652888.html
52,西阿武野コミュニティセンター,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市阿武野一丁目１０－２,072-692-0800,072-692-0800,34.855521,135.575387,休館日を除く日,９：００～２２：００（おむつ替え・授乳は１７：００まで）,第２水曜日・８／１３～１６・年末年始（１２／２７～１／６）,あり,あり,授乳・おむつ替えは事務所に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/shimin/cominiti/shisetsuannnai/communitycenter/1425524309720.html
53,芥川公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市芥川町四丁目２０－１２,072-683-1423,072-683-1423,34.852012,135.608384,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/akutagawa/akutagawa.html
54,真上公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市真上町二丁目１６－６,072-683-2509,072-683-2509,34.857915,135.608711,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/makami/makami.html
55,富田公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市富田町五丁目１７－１,072-693-1671,072-692-6621,34.830668,135.595086,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,駐車場は富田支所と共有。できるだけ公共交通機関をご利用ください。授乳は職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/tonda/tonda.html
56,城内公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市城内町１－１,072-671-4644,072-671-4552,34.844616,135.622439,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,あり(８台),http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/jounai/jounai.html
57,南大冠公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市大塚町一丁目２０－１,072-673-1477,072-673-1477,34.822385,135.632905,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/minamiokanmuri/nankan.html
58,三箇牧公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市三島江一丁目１１－８,072-677-0965,072-677-0967,34.803618,135.611528,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,駐車場は三箇牧支所と共有。できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/sangamaki/sangamaki.html
59,北清水公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市清水台一丁目７－１,072-687-3190,072-687-3190,34.878505,135.598208,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/kitasimizu/kitasimizu.html
60,今城塚公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市郡家新町４８－３,072-683-3331,072-683-6159,34.852272,135.594871,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/imasiro/imasiro.html
61,五領公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市五領町１１－６,072-669-6169,072-669-6165,34.862022,135.653536,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/goryo/goryo.html
62,磐手公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市安満北の町１８－１,072-685-2110,072-685-7727,34.862995,135.629021,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/iwate/iwate.html
63,日吉台公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市寺谷町５０－１,072-688-6636,072-688-6636,34.878021,135.608593,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/hiyosidai/hiyosidai.html
64,如是公民館,子育て支援施設,赤ちゃんの駅,公民館・コミュニティセンター,高槻市如是町２－５,072-693-1866,072-693-1866,34.836163,135.604929,年末・年始(12/28～1/3）を除く毎日,9：00～22：00,年末年始　（12/28～1/3）,あり,あり,できるだけ公共交通機関をご利用ください。授乳・おむつ替えは職員に声をおかけください。,,http://www.city.takatsuki.osaka.jp/kakuka/kyoikukanribu/kominkan/gyomuannai/nyoze/nyoze.html
65,如是保育所,子育て支援施設,赤ちゃんの駅,保育所・保育園・認定保育施設,高槻市東五百住町三丁目５－１２,072-696-0161,072-696-0161,34.836819,135.599335,月～土（祝日・年末年始を除く）,授乳・おむつ替えは月～金（9:00～17:00）　土（9:00～12:00）,,あり,あり,授乳・おむつ替えは職員に声をおかけください。行事等により、利用できない場合があります。,,http://www.city.takatsuki.osaka.jp/kakuka/kodomo/hoikuj/gyomuannai/hoikusyo/ninkahoikusyo/hoikusyo_kodomoen/kouritu_hoikusyo/nyoze.html
66,芥川保育所,子育て支援施設,赤ちゃんの駅,保育所・保育園・認定保育施設,高槻市芥川町四丁目２－２０,072-684-0861,072-684-0861,34.850956,135.610632,月～土（祝日・年末年始を除く）,授乳・おむつ替えは月～金（9:00～17:00）　土（9:00～12:00）,,あり,あり,授乳・おむつ替えは職員に声をおかけください。行事等により、利用できない場合があります。,,http://www.city.takatsuki.osaka.jp/kakuka/kodomo/hoikuj/gyomuannai/hoikusyo/ninkahoikusyo/hoikusyo_kodomoen/kouritu_hoikusyo/akutagawa.html
67,大塚保育所,子育て支援施設,赤ちゃんの駅,保育所・保育園・認定保育施設,高槻市大塚町二丁目２０－５,072-671-2246,072-671-2246,34.825502,135.636499,月～土（祝日・年末年始を除く）,授乳・おむつ替えは月～金（9:00～17:00）　土（9:00～12:00）,,あり,あり,授乳・おむつ替えは職員に声をおかけください。行事等により、利用できない場合があります。,,http://www.city.takatsuki.osaka.jp/kakuka/kodomo/hoikuj/gyomuannai/hoikusyo/ninkahoikusyo/hoikusyo_kodomoen/kouritu_hoikusyo/otsuka.html
